序号,内容,所属颜色,对应翻译
191,我欣赏且看重我头脑的明晰和真实。,蓝色,I appreciate and value the clarity and truth in my mind.
196,我选择喜悦及和平的想法。,蓝色,I choose thoughts of joy and peace.
197,"生命太珍贵了，所以我不能让自己迷失在过去的憎恨与痛苦里。",蓝色,Life is too precious to lose myself in past hatred and pain.
198,生命就是自我探索的旅程。,蓝色,Life is a journey of self-discovery.
199,我敞开心胸接受快乐的解决之道。,蓝色,I open my heart to joyful solutions.
200,我信任我的直觉。,蓝色,I trust my intuition.
201,我允许恐惧像云一样的来去自如。,蓝色,I allow fear to come and go like clouds.
205,我怎么想就会看见什么。,蓝色,What I think is what I see.
206,我学习把痛苦当做一个提醒自己去倾听身体智慧的信号。,蓝色,I learn to treat pain as a signal to listen to my body's wisdom.
209,"我越积极地看待自己以及世界，就越吸引积极的人。",蓝色,"The more positively I view myself and the world, the more I attract positive people."
210,选择的权力操之在我。,蓝色,The power of choice lies within me.
211,"即使在工作中，我也准备好与更高的自我接触。",靛色,"Even at work, I am ready to connect with my higher self."
212,"当我学着了解自己、爱自己的时候，我的神性会引导我。",靛色,"As I learn to know and love myself, my divinity guides me."
213,我跟创造我的力量有直接的连系。,靛色,I am directly connected to the force that created me.
214,我放下对生命的抗拒。,靛色,I release resistance to life.
218,我和所有活力充沛的事物合一。,靛色,I am one with all vibrant things.
221,内心的清明思维能疗愈外在的负面标徽。,靛色,Inner clarity can heal external negative symbols.
225,所有我需要知道的事都会有人在适当的时间、适当的地点告诉我。,靛色,Everything I need to know will be revealed at the right time and place.
226,我放下不再属于我的一切敞开心胸接受转变。,靛色,I release what no longer belongs to me and open my heart to change.
227,"每天我都拨出时间让自己心情平和，并与内在自我全然合一。",靛色,Each day I set aside time for peace and unity with my inner self.
232,我允许自己活出真实的自己。,靛色,I allow myself to live authentically.
233,我是自由的。,靛色,I am free.
236,"我的意识是光明、清楚并且充满爱的。",靛色,"My consciousness is bright, clear, and filled with love."
242,"我知道我内心经常充满无私的爱，当我需要时，它会回应我。",靛色,"I know my heart is often filled with selfless love, and it responds when I need it."
244,"在任何情况下，我都是安全的。",靛色,"In any situation, I am safe."
245,我愿意把每一件今天发生在我身上的事当做是生命赋予的礼物。,靛色,I embrace everything that happens today as a gift from life.
